1,삼성전자,"78,000",200,+0.26%,100,"4,656,430","5,969,783",51.78,"11,802,494",15.12,9.99,
2,SK하이닉스,"122,000","2,000",-1.61%,"5,000","888,163","728,002",48.79,"3,700,787",11.03,9.53,
3,삼성바이오로직스,"955,000","3,000",-0.31%,"2,500","631,876","66,165",11.05,"137,933",153.93,N/A,
4,NAVER,"384,500","3,000",-0.77%,100,"631,593","164,263",56.37,"471,164",3.81,15.22,
5,삼성전자우,"70,400",400,-0.56%,100,"579,312","822,887",74.56,"1,345,266",13.65,N/A,
6,카카오,"117,500","2,000",-1.67%,100,"523,797","445,785",30.92,"1,255,897",46.26,2.70,
7,LG화학,"697,000","8,000",-1.13%,"5,000","492,029","70,592",47.07,"211,601",18.16,2.93,
8,삼성SDI,"680,000","3,000",-0.44%,"5,000","467,599","68,765",45.88,"224,479",42.65,4.54,
9,현대차,"209,500",0,0.00%,"5,000","447,635","213,668",28.63,"616,654",10.62,2.04,
10,기아,"84,600","1,100",-1.28%,"5,000","342,937","405,363",35.27,"1,225,454",7.66,5.05,
11,카카오뱅크,"63,900",800,+1.27%,"5,000","303,627","475,159",6.40,"6,876,786",206.80,5.08,
12,셀트리온,"207,000","1,000",+0.49%,"1,000","285,551","137,947",20.26,"514,071",51.66,16.68,
13,POSCO,"292,000","8,500",+3.00%,"5,000","254,586","87,187",52.54,"497,313",4.37,3.61,
14,KB금융,"58,400","1,800",+3.18%,"5,000","242,832","415,808",69.53,"1,711,652",5.58,8.53,
15,크래프톤,"494,500","10,500",+2.17%,100,"242,090","48,957",30.04,"1,255,880",38.76,61.86,
16,카카오페이,"177,000","7,500",-4.07%,500,"233,368","131,847",42.65,"500,351",-880.60,-17.97,
17,현대모비스,"246,000","1,000",+0.41%,"5,000","232,650","94,573",34.41,"325,837",9.90,4.66,
18,삼성물산,"118,000","1,000",+0.85%,100,"220,527","186,887",15.19,"291,204",13.43,3.81,
19,SK이노베이션,"230,000","2,500",+1.10%,"5,000","212,671","92,466",24.13,"717,100","-6,764.71",-13.58,
20,LG전자,"129,500",500,-0.38%,"5,000","211,924","163,648",29.64,"937,244",18.68,13.23,
21,SK바이오사이언스,"270,000","12,000",+4.65%,500,"206,550","76,500",6.02,"1,049,373",103.97,13.25,
22,신한지주,"38,400",850,+2.26%,"5,000","198,374","516,600",60.20,"1,839,791",5.10,8.20,
23,SK,"264,000","5,000",+1.93%,200,"185,751","70,360",19.85,"139,164",30.85,1.11,
24,LG생활건강,"1,142,000","7,000",+0.62%,"5,000","178,360","15,618",43.56,"34,085",23.77,17.92,
25,엔씨소프트,"670,000","10,000",-1.47%,500,"147,092","21,954",44.41,"222,446",41.37,20.83,
26,HMM,"28,800",700,+2.49%,"5,000","140,843","489,039",10.07,"4,935,453",3.63,8.93,
27,한국전력,"21,750",150,+0.69%,"5,000","139,627","641,964",14.68,"1,007,309",-12.82,2.91,
28,하이브,"331,000","2,000",-0.60%,500,"136,880","41,353",16.51,"107,052",117.75,12.52,
29,삼성생명,"68,300",700,+1.04%,500,"136,600","200,000",12.40,"303,256",8.73,3.53,
30,하나금융지주,"44,850","1,150",+2.63%,"5,000","134,659","300,242",67.34,"1,015,507",4.19,8.96,
31,삼성전기,"179,500","2,000",-1.10%,"5,000","134,075","74,694",30.71,"442,039",13.80,10.92,
32,SK텔레콤,"60,900","2,200",+3.75%,100,"133,269","218,833",43.67,"1,920,028",9.45,6.44,
33,LG,"82,300",700,+0.86%,"5,000","129,459","157,301",36.32,"788,359",5.43,7.50,
